OrthoID,Lambda,P
OG0000073,1.11021949870859,0.194071896012892
OG0000903,0,0.99999591557788
OG0006441,1.00334475905068,0.513858115777585
OG0007783,0,1
OG0007991,0,0.999999072931203
OG0008300,0,0.999972318111703
OG0008620,0.110375806456432,1
OG0009837,0.266386431176215,1
OG0009838,0,0.999973541841559
OG0009839,0,1
OG0009840,0.771812154743492,0.485691495068952
OG0009841,0,1
OG0009842,0.995052497220417,0.257253423613103
OG0009843,0.804934693762956,0.34895628345273
OG0009844,0,0.99999993274336
OG0009845,0.88665827956331,0.762056909506986
OG0009846,1.05874968816236,0.316315074684983
OG0009847,0,1
OG0009848,0.0120857010258271,1
OG0009849,-5.55111512312578e-17,0.999893899853735
OG0009850,1.09932125344992,0.630334814878963
OG0009852,0,1
OG0009855,1.11946101653911,0.080533193356626
OG0009856,0,1
OG0009858,0,1
OG0009859,0,0.999918364997751
OG0009862,0,0.989488788846638
OG0009864,0,1
OG0009869,0.87869165435793,0.628701189222987
OG0009870,1.0862080262089,0.530067436577423
OG0009872,0.0264065475196781,1
OG0009873,0,1
OG0009877,0,0.99998061077287
OG0009878,0.178533938605542,1
OG0009879,0,0.999961372988999
OG0009880,1.10064234232853,0.24762977995069
OG0009881,0.510385838136867,0.833519817138847
OG0009882,0,1
OG0009883,0,0.999999644111316
OG0009884,0,0.999923425207383
OG0009885,1.05783123992429,1
OG0009886,0,0.999974943133021
OG0009888,0,1
OG0009889,1.11617239158399,0.120756855570098
OG0009890,1.09799909832606,0.180020543680317
OG0009892,0,1
OG0009893,0.906225697148937,0.502417900132677
OG0009894,1.11101954515254,0.177249471941274
OG0009897,0,1
OG0009901,1.12424096279459,0.0279614624523098
OG0009902,0,0.99999203725698
OG0009903,1.07205648430366,0.129280441447475
OG0009904,1.10963766503438,0.241662023656056
OG0009907,1.12661228357909,0.0435948557443051
OG0009908,0,1
OG0009909,0.823570035413533,0.577523235416411
OG0009910,1.06333570053768,0.400041716536718
OG0009911,0.72992537114877,0.739010307054381
OG0009912,0,1
OG0009913,1.12266159450683,0.135730122631298
OG0009915,0.0517924656302137,1
OG0009916,0,0.999999534032333
OG0009917,1.11518772962376,0.0371313375523246
OG0009918,0,0.999997421780086
OG0009919,0,1
OG0009920,0,0.99952694866974
OG0009921,1.11083817298565,0.166189377662437
OG0009922,1.00333316533345,0.295966243550857
OG0009924,0,0.99997733960224
OG0009926,0.98189337960069,0.295635974942934
OG0009927,0,1
OG0009928,0.749581580664903,0.389592501921366
OG0009929,1.12397243904513,0.0635581773551607
OG0009930,0,1
OG0009933,0.132229278683531,1
OG0009934,0,0.999971041466917
OG0009935,1.12331302185562,0.0476965718150893
OG0009936,1.12342353585343,0.0418022044302563
OG0009937,0,1
OG0009938,0.00304266531020403,1
OG0009939,1.12664792317041,0.0179860837550493
OG0009940,0,1
OG0009941,0.348102415213361,1
OG0009942,0,1
OG0009943,1.11421622469328,0.164784062254444
OG0009944,0,0.999999835255552
OG0009948,0.645054532653396,0.558138174137624
OG0009949,0,0.99999889281598
OG0009951,0,1
OG0009952,0.989932604922525,0.629895754742403
OG0009953,0,0.999644627039457
OG0009954,0,1
OG0009955,0,0.99999155507252
OG0009956,0,0.999920653468467
OG0009957,0,0.99999942930849
OG0009960,0,0.999991787664128
OG0009962,0,0.999981032733334
OG0009965,0,1
OG0009966,0,0.999983339823109
OG0009967,0.920738433325587,1
OG0009968,0,0.999974226662549
OG0009969,1.12332889990483,0.0363283763058022
OG0009971,0,0.999998702800916
OG0009972,1.12255146274226,0.0899217540765839
OG0009973,0,0.999999077823421
OG0009974,0,0.999999016120187
OG0009976,0,1
OG0009977,1.12535485325859,0.0457618167212194
OG0009978,1.10718108082442,0.581542308296745
OG0009980,0,1
OG0009981,1.12662014740712,0.0307556206384229
