OrthoID,Lambda,P
OG0000073,0.0971870676849252,1
OG0000903,0.397679516796012,1
OG0007783,0.285604987060922,1
OG0007991,0.416431165561872,1
OG0008298,0.878788138641859,1
OG0008300,0.191804957576418,1
OG0008620,0.539099779911254,1
OG0009231,0.264798252872112,1
OG0009837,0.297251786073398,1
OG0009838,0.2783332676283,1
OG0009839,0.0520599011806086,1
OG0009840,0.382573789684117,1
OG0009841,0.368869740875418,1
OG0009842,0.3479886674344,1
OG0009843,0.591971826972478,1
OG0009844,0.180282388608114,1
OG0009845,0.836419726954804,1
OG0009846,0.254905204455688,1
OG0009847,0.321369619858948,1
OG0009848,0.463118759449571,1
OG0009849,0.247062554828181,1
OG0009850,0.064725206464921,1
OG0009852,0.360715822942458,1
OG0009855,0.363512265748197,1
OG0009856,0.545650527643208,1
OG0009858,0.0712906657840518,1
OG0009859,0.801642635371535,1
OG0009862,0.971364271827039,1
OG0009864,0.931877062906874,1
OG0009869,0.463052956899602,1
OG0009870,0.0519752963446291,1
OG0009872,0.989205130841583,1
OG0009873,0.44187925875665,1
OG0009877,0.875722034345716,1
OG0009878,0.73176652461674,1
OG0009879,0.803865405265442,1
OG0009880,0.817237999056401,1
OG0009881,0.0269954882096826,1
OG0009882,0.811815946717325,1
OG0009883,0.729464866223298,1
OG0009884,0.418723761888799,1
OG0009885,0.383396114695502,1
OG0009886,0.0436162881087082,1
OG0009887,0.181178509781716,1
OG0009888,0.202550957921664,1
OG0009889,0.248676461633295,1
OG0009890,0.627264863516944,1
OG0009892,0.0759423012946667,1
OG0009893,0.838343463959412,1
OG0009894,0.246382438052517,1
OG0009897,0.279596295867117,1
OG0009901,0.610819035522156,1
OG0009902,0.156532881548657,1
OG0009903,0.0395438512787043,1
OG0009904,0.333045766921707,1
OG0009907,0.700430323866471,1
OG0009908,0.281104901254597,1
OG0009909,0.26161297224462,1
OG0009910,0.565916014606396,1
OG0009911,0.917112829609353,1
OG0009912,0.736088896048743,1
OG0009913,0.158306840574721,1
OG0009915,0.398630355717622,1
OG0009916,0.904702827167672,1
OG0009917,0.626283453823182,1
OG0009918,0.265383633086461,1
OG0009919,0.991872015033065,1
OG0009920,0.355494748828563,1
OG0009921,0.664387142984197,1
OG0009922,0.0516228952910751,1
OG0009924,0.14726595836681,1
OG0009926,0.37547062120203,1
OG0009927,0.0927900932728999,1
OG0009928,0.65786666259112,1
OG0009929,0.452648953068949,1
OG0009930,0.66735221983586,1
OG0009933,0.295713149595191,1
OG0009934,0.971323829144622,1
OG0009935,0.412629660011772,1
OG0009936,0.237951583461834,1
OG0009937,0.921684307269374,1
OG0009938,0.561703823972522,1
OG0009939,0.816915726164829,1
OG0009940,0.226647470146466,1
OG0009941,0.384282403291434,1
OG0009942,0.220287744887252,1
OG0009943,0.00350891822017843,1
OG0009944,0.989252230685267,1
OG0009948,0.275403351290152,1
OG0009949,0.989881971385855,1
OG0009951,0.883485284840259,1
OG0009952,0.364365618210286,1
OG0009953,0.512030533514927,1
OG0009954,0.189188531703714,1
OG0009955,0.024331771302538,1
OG0009956,0.205796124413608,1
OG0009957,0.690755232702942,1
OG0009960,0.533828698150318,1
OG0009962,0.246534554054998,1
OG0009965,0.252524641135079,1
OG0009966,0.998766429256349,1
OG0009967,0.0586954157788674,1
OG0009968,0.538877531186349,1
OG0009969,0.292829998070393,1
OG0009970,0.685746058790516,1
OG0009971,0.688028940929139,1
OG0009972,0.432267213950183,1
OG0009973,0.575557272330951,1
OG0009974,0.213791392645342,1
OG0009976,0.36312614171757,1
OG0009978,0.37344053294563,1
OG0009980,0.0718398292794857,1
OG0009981,0.844779017946422,1
OG0009982,0.230989142554688,1
OG0009983,0.502633109688693,1
OG0009984,0.331524467328553,1
OG0009985,0.942449799240181,1
OG0009986,0.888116573390954,1
OG0009987,0.770123863789035,1
OG0009988,0.483231307007336,1
OG0009990,0.0448454776715928,1
OG0009993,0.220279313158239,1
OG0009994,0.674337706777194,1
OG0009999,0.56420852500014,1
OG0010000,0.5489998640934,1
OG0010001,0.17914531076553,1
OG0010006,0.0559597754504924,1
OG0010007,0.569264478572728,1
OG0010008,0.309370347532616,1
OG0010009,0.256138357585898,1
OG0010011,0.231492348481819,1
OG0010012,0.97771481242528,1
OG0010013,0.296305856668125,1
OG0010014,0.0795944603160024,1
OG0010015,0.840299999222596,1
OG0010016,0.622754927509014,1
OG0010017,0.0287686644578598,1
OG0010018,0.841434065632699,1
OG0010019,0.0168865460436781,1
OG0010022,0.28714766376652,1
OG0010023,0.0512591203904123,1
OG0010026,0.577373157906938,1
OG0010027,0.599784578895735,1
OG0010029,0.735565778175636,1
OG0010030,0.644223533803598,1
OG0010032,0.200710748552272,1
OG0010033,0.168764010747164,1
OG0010035,0.925559008043222,1
OG0010036,0.492413311755499,1
OG0010038,0.968273181631505,1
OG0010039,0.392107085010188,1
OG0010043,0.0095407351841177,1
OG0010044,0.498070001834981,1
OG0010046,0.248415019588214,1
OG0010048,0.0347618677187104,1
OG0010049,0.180886402596259,1
OG0010050,0.65257520149601,1
OG0010052,0.723444385930056,1
OG0010053,0.225678865352524,1
OG0010054,0.613285392583685,1
OG0010055,0.589161760639592,1
OG0010057,0.932267700788019,1
OG0010058,0.70947303529829,1
OG0010061,0.526188071790502,1
OG0010063,0.637182469712532,1
OG0010066,0.777212726988712,1
OG0010067,0.739573037835909,1
OG0010069,0.0243076660859789,1
OG0010071,0.883349430650475,1
OG0010072,0.405018514402245,1
OG0010073,0.797188711774213,1
OG0010074,0.3781266170554,1
OG0010076,0.555348408641297,1
OG0010077,0.646177452988926,1
OG0010078,0.0012520620908817,1
OG0010079,0.204139720080858,1
OG0010080,0.583386702229925,1
OG0010081,0.797717512115969,1
OG0010085,0.0409042508308714,1
OG0010086,0.19689771448955,1
OG0010088,0.0252216069493424,1
OG0010089,0.227310923393809,1
OG0010090,0.917741826970148,1
OG0010092,0.381445068167541,1
OG0010093,0.0893147508611441,1
OG0010094,0.0792269243393161,1
OG0010096,0.68519623393342,1
OG0010097,0.560102442393522,1
OG0010098,0.280253674661023,1
OG0010099,0.839833264704847,1
OG0010101,0.86297845651747,1
OG0010102,0.204020773029887,1
OG0010103,0.891265512980199,1
OG0010104,0.102497208909125,1
OG0010105,0.402542398214155,1
OG0010109,0.958509645094042,1
OG0010110,0.269763706019121,1
OG0010111,0.997303252341211,1
OG0010112,0.299229995114858,1
OG0010116,0.187947373837635,1
OG0010117,0.242355822818435,1
OG0010118,0.0664372385944913,1
OG0010119,0.532655434661944,1
OG0010120,0.641865657425779,1
OG0010121,0.290446633705464,1
OG0010122,0.311843634980195,1
OG0010125,0.863092746358195,1
OG0010126,0.247288747349583,1
OG0010127,0.323751396034008,1
OG0010129,0.538567819632589,1
OG0010130,0.772093206538966,1
OG0010132,0.138309892732662,1
OG0010135,0.830450655683369,1
OG0010136,0.563155846205707,1
OG0010137,0.442023722222075,1
OG0010138,0.907302594045177,1
OG0010139,0.397896589245686,1
OG0010141,0.903874575926027,1
OG0010142,0.655790667515269,1
OG0010143,0.312010130905612,1
OG0010144,0.73417070505458,1
OG0010148,0.507794957748919,1
OG0010149,0.942954956322092,1
OG0010150,0.71861934150259,1
OG0010151,0.825064239265289,1
OG0010152,0.257556709471342,1
OG0010155,0.956310465234101,1
OG0010156,0.931146588417547,1
OG0010157,0.707170635469516,1
OG0010158,0.14714003773406,1
OG0010159,0.346667531134053,1
OG0010160,0.0246395200964994,1
OG0010161,0.363903825637181,1
OG0010162,0.975477269152768,1
OG0010163,0.443268861155932,1
OG0010164,0.00440662557054583,1
OG0010165,0.532593905459751,1
OG0010166,0.239133171970017,1
OG0010168,0.82205095293837,1
OG0010169,0.96832447417474,1
OG0010170,0.632028590190261,1
OG0010171,0.212921443424485,1
