OrthoID,Lambda,P
OG0000073,0.0125217043434446,1
OG0000903,0.642561075685924,1
OG0006441,0.97734394508187,1
OG0007783,0.720402269567756,1
OG0007991,0.50011862232721,1
OG0008300,0.3728030598723,1
OG0008620,0.842911873388921,1
OG0009837,0.593018146205297,1
OG0009838,0.865265603579716,1
OG0009839,0.655614046612755,1
OG0009840,0.662713548634206,1
OG0009841,0.437160553871841,1
OG0009842,0.413768904382748,1
OG0009843,0.841581382788718,1
OG0009844,0.521050004572612,1
OG0009845,0.735027709510177,1
OG0009846,0.593279197853631,1
OG0009847,0.711707077683457,1
OG0009848,0.281908808974548,1
OG0009849,0.71552354056278,1
OG0009850,0.791301334158186,1
OG0009852,0.0971070639770451,1
OG0009855,0.375405318802223,1
OG0009856,0.476263657286006,1
OG0009858,0.389770622830899,1
OG0009859,0.387243693460855,1
OG0009862,0.851165492087603,1
OG0009864,0.569385854624419,1
OG0009869,0.604553817995999,1
OG0009870,0.508140813326463,1
OG0009872,0.986510111251924,1
OG0009873,0.0417965560197074,1
OG0009877,0.871948804412367,1
OG0009878,0.501141006507499,1
OG0009879,0.729147613281385,1
OG0009880,0.0666886934316233,1
OG0009881,0.351865571923786,1
OG0009882,0.805806177900624,1
OG0009883,0.687304377098377,1
OG0009884,0.689382412005162,1
OG0009885,0.818999351042066,1
OG0009886,0.653531346469994,1
OG0009888,0.27952811413612,1
OG0009889,0.879244549665612,1
OG0009890,0.89791894928136,1
OG0009892,0.933383739277392,1
OG0009893,0.862745866634708,1
OG0009894,0.783790155571994,1
OG0009897,0.736215327533322,1
OG0009901,0.421070373139474,1
OG0009902,0.496438005696558,1
OG0009903,0.367484255835218,1
OG0009904,0.245668833376764,1
OG0009907,0.0570486594329342,1
OG0009908,0.296899368520794,1
OG0009909,0.418168992968748,1
OG0009910,0.918074637651312,1
OG0009911,0.233532849699152,1
OG0009912,0.236551771904789,1
OG0009913,0.503338514594368,1
OG0009915,0.918424201896436,1
OG0009916,0.484397294537894,1
OG0009917,0.445861118860432,1
OG0009918,0.938840760761781,1
OG0009919,0.504004216287285,1
OG0009920,0.182185804238541,1
OG0009921,0.109001545236431,1
OG0009922,0.516420914093032,1
OG0009924,0.691689724568369,1
OG0009926,0.428408739855513,1
OG0009927,0.815701257204637,1
OG0009928,0.0281139807771378,1
OG0009929,0.0164379250043867,1
OG0009930,0.899432594361454,1
OG0009933,0.598338184412569,1
OG0009934,0.816724970936559,1
OG0009935,0.22187286265942,1
OG0009936,0.584077002946313,1
OG0009937,0.946429034568013,1
OG0009938,0.737507439684123,1
OG0009939,0.592365111922644,1
OG0009940,0.854977973736823,1
OG0009941,0.450057603171045,1
OG0009942,0.720543177897398,1
OG0009943,0.24990200228059,1
OG0009944,0.89137385020796,1
OG0009948,0.549952974542991,1
OG0009949,0.178081484977384,1
OG0009951,0.0308089603617194,1
OG0009952,0.974701069994553,1
OG0009953,0.895069319289195,1
OG0009954,0.442936687697548,1
OG0009955,0.255379991814577,1
OG0009956,0.032849760260433,1
OG0009957,0.386806153692286,1
OG0009960,0.888057175092377,1
OG0009962,0.103216397576034,1
OG0009965,0.935897413558112,1
OG0009966,0.996721316506042,1
OG0009967,0.847311101942394,1
OG0009968,0.283214450891864,1
OG0009969,0.315521718701378,1
OG0009971,0.784286813809699,1
OG0009972,0.291093167339135,1
OG0009973,0.656293096861413,1
OG0009974,0.453339933754298,1
OG0009976,0.127434741497795,1
OG0009977,0.718346842153696,1
OG0009978,0.119140988681546,1
OG0009980,0.631507847512156,1
OG0009981,0.753678016463683,1
OG0009982,0.51663757163114,1
OG0009983,0.124401809880002,1
OG0009984,0.800196274882179,1
OG0009985,0.399499063984673,1
OG0009986,0.893582962491113,1
OG0009987,0.277551303850701,1
OG0009988,0.117518126429215,1
OG0009990,0.701086937217143,1
OG0009993,0.565261017339061,1
OG0009994,0.942393838660675,1
OG0009999,0.716690834203376,1
OG0010000,0.992397926754872,1
OG0010001,0.583721616745197,1
OG0010006,0.600748215091438,1
OG0010007,0.76595847122476,1
OG0010008,0.512825330719316,1
OG0010009,0.276491477477666,1
OG0010011,0.689506448805572,1
OG0010012,0.984398764810644,1
OG0010013,0.368851788109828,1
OG0010014,0.984033185057586,1
OG0010015,0.00572582505487649,1
OG0010016,0.614218625086575,1
OG0010017,0.680908073497779,1
OG0010018,0.925842198338507,1
OG0010019,0.221246560569853,1
OG0010022,0.232898660004134,1
OG0010023,0.510341140162874,1
OG0010026,0.849365513754195,1
OG0010027,0.582344241207549,1
OG0010029,0.966870744945466,1
OG0010030,0.115574096329504,1
OG0010032,0.757507145950601,1
OG0010033,0.907182924163051,1
OG0010035,0.865702364867389,1
OG0010036,0.826932287982162,1
OG0010038,0.820648574503139,1
OG0010039,0.418410130078145,1
OG0010043,0.408215376376548,1
OG0010044,0.217117093969137,1
OG0010046,0.887187513748568,1
OG0010048,0.681416144827461,1
OG0010049,0.829040515375357,1
OG0010050,0.282382761771386,1
OG0010052,0.228085628786078,1
OG0010053,0.594795444630875,1
OG0010054,0.279034114442684,1
OG0010055,0.0999252821737067,1
OG0010057,0.970471503911542,1
OG0010058,0.714156126371066,1
OG0010061,0.671505401580129,1
OG0010063,0.855494992341921,1
OG0010066,0.998609227989136,1
OG0010067,0.0400156276685836,1
OG0010069,0.947558241854265,1
OG0010071,0.336284745717811,1
OG0010072,0.89320147513031,1
OG0010073,0.56877819204056,1
OG0010074,0.977614704985353,1
OG0010076,0.271858226501691,1
OG0010077,0.0713975548278493,1
OG0010078,0.222948646908824,1
OG0010079,0.9983134193681,1
OG0010080,0.732538589744016,1
OG0010081,0.161287662107496,1
OG0010085,0.0415573448386185,1
OG0010086,0.922854152143739,1
OG0010088,0.883467251627778,1
OG0010089,0.474648961076902,1
OG0010090,0.868336506750722,1
OG0010092,0.173535300360873,1
OG0010093,0.713664524367,1
OG0010094,0.11229077819735,1
OG0010096,0.408465940272407,1
OG0010097,0.779549903719192,1
OG0010098,0.201178005585119,1
OG0010099,0.666226223344026,1
OG0010101,0.537580522924611,1
OG0010102,0.374450698182951,1
OG0010103,0.894489843285519,1
OG0010104,0.667856337817817,1
OG0010105,0.31689980212034,1
OG0010109,0.621926267166607,1
OG0010110,0.857117624953432,1
OG0010111,0.31166244437919,1
OG0010112,0.492730847094217,1
OG0010116,0.70174157498595,1
OG0010117,0.299294548343325,1
OG0010118,0.0399187000002893,1
OG0010119,0.625312155113929,1
OG0010120,0.1714589052095,1
OG0010121,0.194576188456189,1
OG0010122,0.33184096095043,1
OG0010125,0.71490622614518,1
OG0010126,0.726730074048835,1
OG0010127,0.928071403876082,1
OG0010129,0.659991719992843,1
OG0010130,0.857472341982265,1
OG0010132,0.652784478850728,1
OG0010135,0.704600336961632,1
OG0010136,0.0315047483330443,1
OG0010137,0.911615644115955,1
OG0010138,0.484967747936025,1
OG0010139,0.880663071678347,1
OG0010142,0.245447633089478,1
OG0010143,0.695772800385147,1
OG0010144,0.587689635111716,1
OG0010148,0.42065202957056,1
OG0010149,0.560310023370034,1
OG0010150,0.795961859868839,1
OG0010151,0.613880268156196,1
OG0010152,0.967747815927639,1
OG0010155,0.905666965526001,1
OG0010156,0.0620818122693447,1
OG0010157,0.0288455275130877,1
