"OrthoID","G_corn","T_brev","T_conf","T_cast","T_frem","A_MRCA","B_Tbrev_anc","C_Tconf_anc","D_Tfree-Tcast_anc"
"OG0000073",42.72275562,0.0388228165,0.124615284,59.40262248,39.114014465,25.7492822839114,20.810631189781,22.928409444618,46.1652254632783
"OG0000903",12.747239278,8.270263926,9.486797676,8.711503226,18.787804865,11.2629849384323,10.8311219854038,11.1967627074928,13.4497544012388
"OG0007783",0.0443601715,11.02276572,2.6669661455,5.9806613865,6.625893147,4.51212747681171,5.81208202670247,5.31690582009695,6.18740377007716
"OG0007991",7.218243657,8.7376553785,3.9481146205,14.636549275,25.39646467,9.67545678568115,10.3904146535367,11.213340070933,18.982359305168
"OG0008298",0.1792725015,0.307065188,0.121625604,0.448973543,0.065885312,0.215687197861697,0.226282523666154,0.212959843897096,0.252205385213356
"OG0008300",21.753068525,16.861716095,18.38945328,23.418043835,16.948704775,19.6045774940309,18.9794463042782,19.1235171110623,20.0588681065976
"OG0008620",0.986730107,1.11565875,0.981603785,0.870089395,1.596349821,1.06903240698943,1.09297932320651,1.10162690084652,1.21776081996811
"OG0009231",0.30175859,0.0814473775,0.0683817775,9.633306543,119.05436034,13.7705308136272,17.6894438941564,24.2722992746905,59.6364498318986
"OG0009837",0.088394481,0.1386670675,0.270521529,0.299942527,0.5421558835,0.205496482751466,0.239568821254224,0.284152382387929,0.404967318854914
"OG0009838",0.78189418,0.26400218,0.8249681575,0.7111706325,10.8249595415,1.7215196640127,1.99491582358516,2.57596484611016,5.39307469377928
"OG0009839",0.7856611335,0.409142515,2.394658753,17.331337898,1.1862492955,2.79483043667878,3.3794241719127,4.44470376879212,8.69326078093762
"OG0009840",1.754869566,2.4227593605,3.2493896665,7.674300836,4.130676109,3.07766774690134,3.46255294712328,3.94193381138566,5.67217328568837
"OG0009841",93.898656335,85.115350855,91.262989025,112.92561245,58.55849485,89.5552425662159,88.2914702824454,88.31485579382,86.0442923063027
"OG0009842",41.548645735,58.087156545,58.955808945,55.12696579,59.409403155,52.1625319476996,55.2507791036824,56.387420060995,57.1647171099234
"OG0009843",11.084809365,17.66826115,21.12075121,20.305683635,15.07091517,15.9720747365995,17.3940876621118,18.1675806636531,17.7446027310361
"OG0009844",43.14343838,92.40580833,86.15703745,88.73958228,48.580499365,68.5701040458483,75.9683205289613,76.353957334125,69.5638798502172
"OG0009845",0.448664065,1.8065994635,0.411213723,0.497466155,0.464232505,0.775520623411039,0.870623756862708,0.699925690928683,0.506585216886532
"OG0009846",12.958495685,3.7254569715,10.873884702,8.926394508,3.253693795,8.88406699814335,7.69855939496364,7.96135661487323,6.30987565537644
"OG0009847",49.238880375,30.316768625,55.951251965,79.14060056,41.71095282,48.3225278469917,48.0559032542847,52.1982440272469,59.459251369485
