OrthoID,Lambda,P
OG0000073,0,0.99999993274336
OG0000903,0,0.999981612288165
OG0007783,1.11591226064594,0.123581271999317
OG0007991,0,0.999996181149298
OG0008298,0.0210445271804929,1
OG0008300,0,0.99996668351551
OG0008620,0.263850787739915,1
OG0009231,0,1
OG0009837,0.0876742815598845,1
OG0009838,0,1
OG0009839,0,1
OG0009840,0,1
OG0009841,0,0.999999904884748
OG0009842,0.934024803542418,0.250732364565344
OG0009843,0,0.999931621643036
OG0009844,0,0.99999993274336
OG0009845,0.842138399091119,0.620495104291017
OG0009846,0,1
OG0009847,0,1
OG0009848,0,0.993185087428329
OG0009849,0,0.999965844087985
OG0009850,1.12478086631957,0.122335062529987
OG0009852,0,1
OG0009855,0.731745375383766,0.739539502848116
OG0009856,1.01173611246061,0.55418847538481
OG0009858,0,0.99997983422073
OG0009859,0,1
OG0009862,0,0.996997927146315
OG0009864,0,0.999996224032325
OG0009869,1.12731996919459,0.0121121193257862
OG0009870,0,0.999954715749587
OG0009872,0,0.999662271567019
OG0009873,0,1
OG0009877,0,0.999994883630462
OG0009878,0.0144028129144391,1
OG0009879,0,0.999970565748204
OG0009880,0,1
OG0009881,1.1055091231715,0.0850283757276675
OG0009882,1.12731996919459,0.0555461320883678
OG0009883,0,1
OG0009884,0,1
OG0009885,1.12627443152838,0.0566122205062095
OG0009886,0,1
OG0009887,0.996599835456696,1
OG0009888,1.11470967630468,0.149988172832386
OG0009889,1.07653470058469,0.20540230119674
OG0009890,-2.77555756156289e-17,0.999999006967619
OG0009892,0,1
OG0009893,1.12313741256646,0.0852065729261114
OG0009894,0,0.999999080279288
OG0009897,0,1
OG0009901,0.846263761697546,0.378011641305111
OG0009902,1.12623116194346,0.0486343078823948
OG0009903,0,0.999928610982011
OG0009904,0,0.999753038441144
OG0009907,1.12669396307454,0.0348086748714955
OG0009908,1.05879613844718,0.136880543950082
OG0009909,0,0.999866231194354
OG0009910,0,1
OG0009911,0,0.999999347922688
OG0009912,0,0.999999835255552
OG0009913,1.08158253555145,0.282638771697071
OG0009915,0.0118443770334125,1
OG0009916,0,0.999999063223412
OG0009917,1.00990109773759,0.143312716837913
OG0009918,0,1
OG0009919,0,1
OG0009920,0,0.999994640738764
OG0009921,1.11348009115747,0.10272064937822
OG0009922,0.848002135474497,0.521510448282291
OG0009924,0,1
OG0009926,0,0.999949544227819
OG0009927,0,0.999444501780119
OG0009928,0,0.999999767016167
OG0009929,0,0.99989868424057
OG0009930,0,0.999993608849588
OG0009933,0,1
OG0009934,0,1
OG0009935,0,0.999966540176769
OG0009936,0.912897731126473,0.423565825266236
OG0009937,0,1
OG0009938,0.103112527402118,1
OG0009939,0,0.999991746730626
OG0009940,0,0.999863584078304
OG0009941,0.0565634206857844,1
OG0009942,0,0.998271302126436
OG0009943,1.08512468603791,0.353703525447395
OG0009944,0,1
OG0009948,0.92949436259033,0.362058676680271
OG0009949,0,1
OG0009951,0,1
OG0009952,1.12731996919459,0.0721804014197191
OG0009953,0,0.999910105469334
OG0009954,0,0.999993084002678
OG0009955,0,1
OG0009956,0,0.999989418989344
OG0009957,1.12412431825718,0.0360404197220271
OG0009960,0,1
OG0009962,0,1
OG0009965,0.974429374161882,0.213604306905015
OG0009966,0,0.999975200533485
OG0009967,0.272550567742731,1
OG0009968,0,1
OG0009969,1.01854135813035,0.285929661629475
OG0009970,0.283862044336274,1
OG0009971,0,1
