"OrthoID","G_corn","T_brev","T_conf","T_cast","T_frem","A_MRCA","B_Tbrev_anc","C_Tconf_anc","D_Tfree-Tcast_anc"
"OG0000073",63.640458935,0.4373459835,0.079000433,50.112779415,56.1787149,34.1423565839457,25.5595030591422,26.5792252696097,50.0248581698566
"OG0000903",6.90179604,8.670428826,7.7765104835,15.317329075,24.36909741,10.2350783235042,11.2049398168187,12.3921608176977,18.9679045529753
"OG0006441",18.664817235,0.167638439,15.6919595,24.474654845,29.843549095,15.4445037826791,14.5075120285558,17.429927497695,26.0161720223911
"OG0007783",0.0842320395,9.927781781,2.4466986415,4.5431466755,7.442945157,4.15512794456118,5.3396076392902,4.92711460245825,5.86782616362919
"OG0007991",5.5781797345,9.141637989,5.1979331025,21.30689355,32.376282615,10.8688116288708,12.4081892492557,14.1092513470665,25.3458631369363
"OG0008300",23.68474862,19.75647205,16.578993665,23.775677985,19.137421185,20.9194109737366,20.1148003014282,19.7263911727952,21.2533000833033
"OG0008620",1.150582628,1.157481562,1.236215112,1.0076135425,1.4615963395,1.18627583081799,1.19666122876569,1.21229249601133,1.23198379758701
"OG0009837",0.270533875,0.4444787845,0.4522592195,0.0448537495,0.3475153535,0.331137407910495,0.348770787843418,0.335987540065332,0.212607838270259
"OG0009838",0.7091603935,0.2380733395,0.9860505005,1.12677609,9.071456908,1.5780875772787,1.83091315410182,2.36634356894611,4.77808535389467
"OG0009839",0.606376335,0.194338183,2.025710766,2.181897331,1.244667557,1.01064182530253,1.12826808637879,1.4241246585083,1.67931377650786
"OG0009840",1.8365176915,3.4857198865,3.451205578,7.092535025,5.527519927,3.48753516204833,3.96791999995983,4.36855394809179,6.08195383585173
"OG0009841",90.32421856,85.86913158,95.28384252,100.443347,60.25870874,88.0784786753987,87.4250516767751,87.4162303445162,81.1810090279114
"OG0009842",40.182918395,63.41787135,55.193984585,55.2305895,59.388587175,52.2538975722312,55.7661047286832,55.9859558630595,57.1540952687949
"OG0009843",9.9477755995,19.59698323,18.293483335,23.746976555,19.860639665,16.3658530775714,18.2332755391779,19.0057670647579,21.4751096254215
"OG0009844",47.54664316,76.475018225,86.753636685,68.57595353,41.826059795,63.569319634517,68.2313241126179,68.9868555835847,56.8204924297634
"OG0009845",0.4891759375,1.2268988545,0.391307513,0.622507919,0.5736010355,0.671411189114542,0.72443488714939,0.633961372190314,0.602272621931212
"OG0009846",16.19849368,3.0875348315,13.042267265,3.501230294,1.115909054,9.49933979162639,7.55013452141098,7.48048335078465,2.91613766905158
"OG0009847",47.855710355,32.45712962,40.4528314,73.645730715,62.145420465,46.9878206346509,46.7352969212002,50.0470548942955,65.7988294702025
"OG0009848",1.506731336,0.746041326,2.067578106,1.4843832985,1.4174883575,1.41797090220539,1.39214490862143,1.53350062443994,1.46063508652785
"OG0009849",0.6097021655,3.080402892,5.1793427545,1.2915250845,0.414043914,2.12263755233576,2.56284562616933,2.69741457660198,1.06948150305718
"OG0009850",22.558863045,18.90273533,30.05030907,23.839640825,22.756407145,23.2547430633447,23.4572183343709,24.6807875094507,23.4604634444891
"OG0009852",6.2904089605,3.3863412405,8.91793543,12.763821185,6.449064126,6.79131266834322,6.93705706583988,7.88381116435106,9.40407737512263
"OG0009855",28.247925355,56.447943935,64.12916582,44.852940555,46.543345865,45.5397619495819,50.5710449419548,52.118393731855,46.4523589570264
"OG0009856",13.7850936,23.670983585,11.977970615,9.324339891,13.763927935,15.3494200005643,15.8045809529957,14.1666786196642,11.8522160522115
"OG0009858",7.290194913,4.8991891735,3.820878054,11.34800533,4.5049550145,6.19131558529863,5.87158246488119,5.91842407208538,7.69058477743618
"OG0009859",14.24286505,7.782905284,16.053204,18.311929385,14.51036078,13.4890874687538,13.2697661546868,14.4701909488687,16.1831324579369
"OG0009862",2.16391444,2.309635073,0.8161441645,2.7757873975,1.943779386,1.9850246388284,1.93297434276987,1.81092975740737,2.29530708316597
"OG0009864",22.32338653,13.231787715,22.40459065,38.14504265,19.388917165,21.5134900321553,21.2778401951411,23.0889484709997,28.0999559795486
